,first_login_dt,week_year,user_id,habito,habito_dt,activacion,activacion_dt,setup,setup_dt,return,return_dt
67,2022-01-18,3,MLB5661454210,0.0,,0,,0,,0,
68,2022-01-19,3,MLB10596885060,1.0,2022-02-13,1,2022-01-19,1,2022-01-19,1,2022-01-20
69,2022-01-19,3,MLB2951736790,0.0,,0,,0,,1,2022-01-20
70,2022-01-19,3,MLB5330813290,0.0,,0,,1,2022-01-19,1,2022-01-20
71,2022-01-19,3,MLB10597018090,0.0,,0,,0,,0,
72,2022-01-19,3,MLB10598509020,0.0,,1,2022-01-19,1,2022-01-19,1,2022-01-21
73,2022-01-19,3,MLB10235571650,0.0,,0,,0,,0,
74,2022-01-29,4,MLB10649197240,0.0,,0,,1,2022-01-29,1,2022-01-30
75,2022-01-29,4,MLB8168907960,0.0,,0,,1,2022-02-02,1,2022-01-30
76,2022-01-29,4,MLB7296436000,0.0,,0,,0,,1,2022-01-30
77,2022-01-14,2,MLB10568129780,1.0,2022-01-14,1,2022-01-14,1,2022-01-14,1,2022-01-15
78,2022-01-14,2,MLB4829246850,0.0,,0,,0,,1,2022-01-15
79,2022-01-14,2,MLB10529535090,0.0,,0,,0,,0,
80,2022-01-14,2,MLB10568784020,0.0,,0,,0,,0,
81,2022-01-14,2,MLB434520800,0.0,,1,2022-01-14,0,,0,
82,2022-01-14,2,MLB1603055200,0.0,,1,2022-01-13,0,,1,2022-01-20
83,2022-01-10,2,MLB7311513030,1.0,2022-01-27,1,2022-01-13,1,2022-01-17,1,2022-01-11
84,2022-01-10,2,MLB5000240680,0.0,,0,,0,,1,2022-01-13
85,2022-01-10,2,MLB7041779060,0.0,,0,,0,,1,2022-01-12
86,2022-01-10,2,MLB10542825760,0.0,,0,,0,,1,2022-01-17
87,2022-01-10,2,MLB3514420320,0.0,,0,,0,,0,
88,2022-01-10,2,MLB4584655540,0.0,,0,,0,,1,2022-01-11
89,2022-01-10,2,MLB10539298670,0.0,,0,,0,,1,2022-01-18
90,2022-01-31,5,MLB10639765340,0.0,,0,,1,2022-01-31,0,
91,2022-01-31,5,MLB6249036660,0.0,,0,,0,,1,2022-02-01
92,2022-01-31,5,MLB7941040860,0.0,,0,,1,2022-01-31,1,2022-02-06
93,2022-01-31,5,MLB2280754010,1.0,2022-02-08,1,2022-02-05,1,2022-02-28,1,2022-02-04
94,2022-01-26,4,MLB448664440,0.0,,1,2022-01-26,0,,1,2022-02-03
95,2022-01-26,4,MLB10633975970,0.0,,1,2022-01-26,1,2022-01-27,1,2022-01-27
96,2022-01-26,4,MLB10450964610,0.0,,0,,1,2022-01-26,0,
97,2022-01-26,4,MLB4406541420,0.0,,0,,0,,0,
98,2022-01-26,4,MLB5018784890,0.0,,0,,1,2022-01-26,1,2022-02-06
99,2022-01-20,3,MLB10557628420,0.0,,0,,0,,1,2022-01-21
100,2022-01-20,3,MLB10504899120,0.0,,0,,0,,0,
101,2022-01-20,3,MLB1664358740,0.0,,1,2022-01-20,0,,0,
102,2022-01-20,3,MLB1353540120,0.0,,0,,0,,0,
103,2022-01-21,3,MLB10541777630,1.0,2022-02-05,1,2022-01-21,1,2022-01-26,1,2022-01-23
104,2022-01-17,3,MLB10583103420,0.0,,1,2022-01-17,0,,1,2022-01-18
105,2022-01-17,3,MLB10588564830,0.0,,1,2022-02-07,1,2022-01-31,1,2022-01-18
106,2022-01-17,3,MLB10574633760,0.0,,0,,0,,1,2022-01-20
107,2022-01-17,3,MLB4589207140,0.0,,0,,0,,0,
108,2022-01-27,4,MLB10642777290,0.0,,1,2022-01-27,0,,1,2022-01-28
109,2022-01-27,4,MLB10337394880,1.0,2022-01-30,1,2022-01-28,0,,1,2022-01-28
110,2022-01-27,4,MLB10576165250,0.0,,0,,0,,1,2022-01-28
111,2022-01-27,4,MLB7393091850,0.0,,0,,0,,1,2022-02-24
112,2022-01-27,4,MLB2412718380,0.0,,1,2022-01-26,0,,0,
113,2022-01-13,2,MLB6107167150,1.0,2022-01-22,1,2022-01-17,1,2022-01-14,1,2022-01-14
114,2022-01-13,2,MLB7192557620,1.0,2022-02-02,1,2022-01-13,1,2022-01-16,1,2022-01-15
115,2022-01-13,2,MLB8089403470,0.0,,0,,0,,0,
116,2022-01-13,2,MLB7305030790,0.0,,0,,0,,1,2022-01-19
117,2022-01-13,2,MLB10562268630,0.0,,0,,0,,1,2022-01-17
118,2022-01-13,2,MLB7173500140,0.0,,1,2022-01-19,1,2022-01-13,1,2022-01-14
119,2022-01-03,1,MLB628342690,0.0,,0,,0,,0,
120,2022-01-30,4,MLB10651333060,0.0,,1,2022-01-31,1,2022-01-31,1,2022-01-31
121,2022-01-30,4,MLB10656131730,0.0,,1,2022-02-21,1,2022-02-14,1,2022-01-31
122,2022-01-30,4,MLB5154216120,0.0,,1,2022-01-31,0,,1,2022-01-31
123,2022-01-30,4,MLB5533583340,0.0,,1,2022-02-03,0,,1,2022-01-31
124,2022-01-07,1,MLB10528545480,0.0,,1,2022-01-24,0,,1,2022-01-10
125,2022-01-07,1,MLB10223550420,0.0,,0,,0,,1,2022-01-10
126,2022-01-07,1,MLB2359747420,0.0,,0,,1,2022-01-08,1,2022-01-08
127,2022-01-01,52,MLB2565162150,0.0,,1,2022-01-01,1,2022-01-01,1,2022-01-09
128,2022-01-01,52,MLB6760728810,1.0,2022-01-01,1,2022-01-01,1,2022-01-02,1,2022-01-02
129,2022-01-16,2,MLB944806350,0.0,,1,2022-01-17,0,,1,2022-01-17
130,2022-01-16,2,MLB10580888150,0.0,,1,2022-01-22,1,2022-01-16,1,2022-01-18
131,2022-01-16,2,MLB5652160870,0.0,,1,2022-01-29,1,2022-01-29,1,2022-01-18
132,2022-01-16,2,MLB2014154210,0.0,,1,2022-01-13,0,,1,2022-01-17
133,2022-01-09,1,MLB1045529450,1.0,2022-01-09,1,2022-01-09,0,,1,2022-01-10
134,2022-01-09,1,MLB2420581460,1.0,2022-01-24,1,2022-01-06,0,,1,2022-02-03
135,2022-01-09,1,MLB7422826510,0.0,,1,2022-01-07,0,,1,2022-01-10
136,2022-01-09,1,MLB2184328280,0.0,,0,,0,,0,
137,2022-01-09,1,MLB3887622420,0.0,,0,,0,,1,2022-01-11
138,2022-01-09,1,MLB4772469760,0.0,,1,2022-01-11,1,2022-01-11,1,2022-01-10
139,2022-01-23,3,MLB2329640340,0.0,,0,,0,,0,
140,2022-01-23,3,MLB6001524200,0.0,,0,,0,,1,2022-01-24
141,2022-01-23,3,MLB7404400780,0.0,,1,2022-01-23,1,2022-01-23,1,2022-01-25
142,2022-01-23,3,MLB2509448310,0.0,,1,2022-02-08,1,2022-02-08,1,2022-01-31
143,2022-01-02,52,MLB2080909610,0.0,,0,,0,,0,
144,2022-01-02,52,MLB10169682570,0.0,,0,,0,,0,
145,2022-01-02,52,MLB415181910,0.0,,0,,0,,0,
146,2022-01-24,4,MLB2650705130,0.0,,0,,0,,0,
147,2022-01-24,4,MLB4068924480,0.0,,1,2022-01-22,0,,1,2022-01-25
148,2022-01-24,4,MLB1637958040,0.0,,1,2022-01-24,0,,1,2022-02-16
149,2022-01-24,4,MLB5485858440,0.0,,1,2022-01-30,1,2022-02-06,1,2022-01-25
150,2022-01-15,2,MLB8393360500,0.0,,0,,0,,1,2022-01-16
151,2022-01-15,2,MLB10571214170,0.0,,0,,0,,1,2022-01-18
152,2022-01-15,2,MLB1790201890,0.0,,1,2022-01-18,1,2022-01-19,1,2022-01-18
153,2022-01-15,2,MLB1732159600,0.0,,0,,0,,0,
154,2022-01-28,4,MLB1927705020,0.0,,0,,0,,0,
155,2022-01-28,4,MLB10649207620,0.0,,0,,1,2022-01-28,0,
156,2022-01-28,4,MLB10011728560,0.0,,0,,0,,1,2022-01-31
157,2022-01-28,4,MLB2697739180,0.0,,0,,0,,1,2022-01-31
158,2022-01-28,4,MLB4507136380,0.0,,0,,1,2022-01-28,1,2022-02-05
159,2022-01-28,4,MLB7922125460,0.0,,1,2022-01-31,1,2022-01-30,1,2022-01-30
160,2022-01-04,1,MLB1033285650,0.0,,0,,1,2022-01-06,1,2022-01-05
161,2022-01-04,1,MLB10512536950,0.0,,0,,0,,1,2022-01-05
162,2022-01-04,1,MLB10509321180,0.0,,0,,0,,1,2022-01-05
163,2022-01-04,1,MLB10508434380,0.0,,1,2022-01-04,1,2022-01-04,1,2022-01-07
164,2022-01-04,1,MLB5392141100,0.0,,1,2022-01-12,0,,1,2022-01-09
165,2022-01-05,1,MLB10515781200,1.0,2022-01-06,1,2022-01-05,1,2022-01-05,1,2022-01-06
166,2022-01-05,1,MLB7460673560,0.0,,0,,0,,0,
167,2022-01-05,1,MLB1576314000,0.0,,1,2022-01-14,0,,1,2022-01-14
168,2022-01-05,1,MLB1873905460,0.0,,1,2022-01-07,0,,1,2022-01-07
169,2022-01-05,1,MLB4846626750,0.0,,0,,0,,1,2022-01-06
170,2022-01-05,1,MLB438599010,0.0,,0,,1,2022-01-05,1,2022-01-06
171,2022-01-22,3,MLB2717606070,0.0,,1,2022-01-26,1,2022-01-22,1,2022-01-24
172,2022-01-22,3,MLB1401779800,0.0,,1,2022-01-22,0,,1,2022-01-23
173,2022-01-12,2,MLB10558204500,1.0,2022-01-21,1,2022-01-14,1,2022-01-13,1,2022-01-13
174,2022-01-12,2,MLB8037919550,0.0,,0,,0,,1,2022-01-13
175,2022-01-12,2,MLB1981312330,0.0,,0,,0,,1,2022-01-13
176,2022-01-12,2,MLB10493764710,0.0,,1,2022-01-12,1,2022-01-13,1,2022-01-13
177,2022-01-12,2,MLB7558847480,0.0,,0,,0,,1,2022-01-13
178,2022-01-08,1,MLB6035065450,1.0,2022-01-29,1,2022-01-10,0,,1,2022-01-09
179,2022-01-08,1,MLB10476828060,0.0,,0,,1,2022-01-11,0,
180,2022-01-25,4,MLB10631337900,1.0,2022-02-03,1,2022-01-27,1,2022-01-27,1,2022-01-26
181,2022-01-25,4,MLB4875950420,0.0,,0,,0,,1,2022-01-26
182,2022-01-25,4,MLB202741480,0.0,,0,,0,,0,
183,2022-01-25,4,MLB4837688830,0.0,,0,,0,,0,
184,2022-01-25,4,MLB4166005180,0.0,,1,2022-01-25,0,,0,
185,2022-01-25,4,MLB7305566160,0.0,,1,2022-01-25,1,2022-01-25,0,
186,2022-01-25,4,MLB4635982750,0.0,,1,2022-01-25,0,,0,
187,2022-01-06,1,MLB10503479400,0.0,,1,2022-01-06,1,2022-01-06,1,2022-01-20
188,2022-01-06,1,MLB10516073750,1.0,2022-01-12,1,2022-01-06,1,2022-01-07,1,2022-01-07
189,2022-01-06,1,MLB10520782780,1.0,2022-02-04,1,2022-01-06,1,2022-01-06,1,2022-01-07
190,2022-01-06,1,MLB2673754970,1.0,2022-02-04,1,2022-01-08,1,2022-01-07,1,2022-01-07
191,2022-01-06,1,MLB10521303900,0.0,,1,2022-01-19,1,2022-01-06,1,2022-01-18
192,2022-01-06,1,MLB6538973270,1.0,2022-01-06,1,2022-01-01,0,,1,2022-01-13
193,2022-01-06,1,MLB3124051660,0.0,,1,2022-01-04,1,2022-01-06,1,2022-01-07
194,2022-01-06,1,MLB1381031550,0.0,,0,,0,,1,2022-01-07
195,2022-01-11,2,MLB10542424510,0.0,,0,,0,,1,2022-02-02
196,2022-01-11,2,MLB2374785090,0.0,,0,,0,,1,2022-01-12
197,2022-01-11,2,MLB3110115270,0.0,,0,,1,2022-01-14,1,2022-01-12
198,2022-01-18,3,MLB10578711010,0.0,,0,,1,2022-01-19,1,2022-01-19
199,2022-01-18,3,MLB1146143030,0.0,,0,,0,,0,
200,2022-01-19,3,MLB10509231250,1.0,2022-01-19,1,2022-01-19,1,2022-01-20,1,2022-01-20
201,2022-01-19,3,MLB1662967580,0.0,,0,,0,,0,
202,2022-01-19,3,MLB8206997340,0.0,,0,,0,,0,
203,2022-01-19,3,MLB7079936990,0.0,,0,,1,2022-02-03,1,2022-01-29
204,2022-01-29,4,MLB10652453150,1.0,2022-01-31,1,2022-01-29,1,2022-01-29,1,2022-01-31
205,2022-01-29,4,MLB10157840830,0.0,,0,,1,2022-01-29,0,
206,2022-01-29,4,MLB10650547290,0.0,,0,,1,2022-01-30,1,2022-01-30
207,2022-01-29,4,MLB8285053040,0.0,,0,,1,2022-01-29,1,2022-01-30
208,2022-01-29,4,MLB10638414430,0.0,,1,2022-01-29,1,2022-01-29,1,2022-01-30
209,2022-01-29,4,MLB7964325710,0.0,,1,2022-01-29,1,2022-01-29,1,2022-01-31
210,2022-01-14,2,MLB43234120,0.0,,0,,0,,0,
211,2022-01-14,2,MLB10565603190,0.0,,0,,1,2022-01-14,0,
212,2022-01-14,2,MLB10278551600,0.0,,1,2022-01-14,1,2022-01-14,1,2022-01-15
213,2022-01-14,2,MLB1104970270,0.0,,0,,0,,0,
214,2022-01-10,2,MLB10402640810,0.0,,0,,0,,0,
215,2022-01-10,2,MLB7392713400,0.0,,0,,1,2022-01-10,0,
216,2022-01-10,2,MLB1017872460,0.0,,0,,0,,0,
217,2022-01-10,2,MLB6725238370,0.0,,0,,1,2022-01-11,1,2022-01-11
218,2022-01-10,2,MLB2323031560,0.0,,1,2022-01-10,0,,0,
219,2022-01-10,2,MLB1343487520,0.0,,1,2022-01-03,0,,1,2022-01-11
220,2022-01-31,5,MLB2794998380,0.0,,0,,0,,1,2022-02-01
221,2022-01-31,5,MLB10648810810,0.0,,1,2022-01-31,1,2022-02-25,1,2022-02-01
222,2022-01-31,5,MLB10279969240,0.0,,1,2022-01-31,1,2022-01-31,1,2022-02-04
223,2022-01-31,5,MLB10660914070,0.0,,0,,1,2022-02-01,1,2022-02-01
224,2022-01-26,4,MLB10340813670,0.0,,0,,0,,0,
225,2022-01-26,4,MLB7566031370,0.0,,1,2022-01-28,1,2022-01-28,1,2022-01-28
226,2022-01-26,4,MLB8156412600,0.0,,1,2022-01-26,0,,1,2022-01-27
227,2022-01-26,4,MLB1641802590,0.0,,1,2022-01-12,0,,1,2022-01-31
228,2022-01-26,4,MLB10633990220,0.0,,1,2022-01-27,1,2022-01-26,1,2022-01-27
229,2022-01-26,4,MLB10637644840,0.0,,0,,0,,0,
230,2022-01-26,4,MLB3401123850,0.0,,0,,1,2022-01-27,1,2022-01-27
231,2022-01-26,4,MLB4468716670,0.0,,1,2022-01-26,1,2022-01-26,1,2022-01-29
232,2022-01-20,3,MLB10476715190,0.0,,0,,0,,0,
233,2022-01-20,3,MLB6180901200,0.0,,0,,0,,0,
234,2022-01-20,3,MLB4897287110,0.0,,1,2022-02-12,0,,1,2022-02-12
235,2022-01-20,3,MLB2714820630,0.0,,0,,0,,0,
236,2022-01-20,3,MLB7188185610,1.0,2022-01-21,1,2022-01-04,0,,1,2022-01-21
237,2022-01-20,3,MLB3562930110,0.0,,0,,1,2022-01-20,0,
238,2022-01-20,3,MLB5029524840,0.0,,0,,0,,1,2022-01-21
239,2022-01-21,3,MLB7453621570,1.0,2022-02-19,1,2022-01-22,1,2022-01-21,1,2022-01-22
240,2022-01-21,3,MLB10607554110,0.0,,1,2022-01-24,1,2022-01-21,1,2022-01-24
241,2022-01-21,3,MLB535414930,0.0,,1,2022-01-21,1,2022-01-27,1,2022-01-23
242,2022-01-21,3,MLB1880932100,0.0,,1,2022-01-22,0,,1,2022-01-22
243,2022-01-21,3,MLB5225255280,0.0,,0,,0,,1,2022-01-22
244,2022-01-21,3,MLB2733851860,0.0,,1,2022-01-20,0,,0,
245,2022-01-17,3,MLB10200304830,0.0,,0,,0,,1,2022-01-20
246,2022-01-17,3,MLB10586766930,0.0,,1,2022-01-19,1,2022-01-19,1,2022-01-18
247,2022-01-17,3,MLB10580707150,0.0,,0,,0,,1,2022-01-20
248,2022-01-17,3,MLB2677595370,0.0,,0,,0,,0,
249,2022-01-17,3,MLB5546111350,0.0,,0,,0,,1,2022-01-19
250,2022-01-17,3,MLB5113460280,0.0,,1,2022-02-03,0,,1,2022-01-18
251,2022-01-27,4,MLB10641420010,1.0,2022-02-25,1,2022-01-28,1,2022-01-27,1,2022-01-28
252,2022-01-27,4,MLB10581625690,0.0,,0,,0,,1,2022-01-30
253,2022-01-27,4,MLB10257731930,0.0,,1,2022-01-25,1,2022-01-29,1,2022-01-28
254,2022-01-27,4,MLB10157420310,0.0,,0,,0,,0,
255,2022-01-27,4,MLB4717436290,0.0,,0,,0,,0,
256,2022-01-27,4,MLB1519033290,1.0,2022-02-04,1,2022-02-02,0,,1,2022-02-01
257,2022-01-27,4,MLB7999703170,0.0,,1,2022-01-28,1,2022-01-27,1,2022-01-28
258,2022-01-27,4,MLB6737300350,0.0,,1,2022-01-19,0,,1,2022-01-29
259,2022-01-13,2,MLB10562831920,1.0,2022-02-09,1,2022-01-14,1,2022-01-13,1,2022-01-14
260,2022-01-13,2,MLB5554402410,0.0,,0,,0,,0,
261,2022-01-13,2,MLB10565175660,0.0,,1,2022-02-02,1,2022-01-30,1,2022-01-14
262,2022-01-13,2,MLB2819151970,0.0,,0,,0,,1,2022-01-14
263,2022-01-13,2,MLB10545724130,0.0,,0,,0,,0,
264,2022-01-13,2,MLB4160020710,0.0,,0,,0,,1,2022-01-14
265,2022-01-13,2,MLB3946499630,0.0,,1,2022-01-13,0,,1,2022-02-02
266,2022-01-13,2,MLB10558510170,0.0,,1,2022-01-14,1,2022-01-13,1,2022-01-14
267,2022-01-03,1,MLB10479877980,0.0,,0,,1,2022-01-04,1,2022-01-04
268,2022-01-03,1,MLB10503451890,0.0,,1,2022-01-04,1,2022-01-03,1,2022-01-04
269,2022-01-03,1,MLB988455940,0.0,,1,2022-01-03,0,,0,
270,2022-01-03,1,MLB3159415620,1.0,2022-01-25,1,2022-01-09,1,2022-01-15,1,2022-01-04
271,2022-01-30,4,MLB894195590,0.0,,0,,0,,0,
272,2022-01-30,4,MLB10655453510,0.0,,0,,0,,0,
273,2022-01-30,4,MLB4697129060,0.0,,1,2022-01-31,1,2022-01-31,1,2022-01-31
274,2022-01-30,4,MLB1247693640,0.0,,0,,1,2022-01-30,1,2022-01-31
275,2022-01-07,1,MLB10527681880,0.0,,0,,0,,0,
276,2022-01-07,1,MLB10527253160,0.0,,0,,0,,0,
277,2022-01-07,1,MLB2436091900,0.0,,0,,1,2022-01-07,0,
278,2022-01-07,1,MLB4654585010,0.0,,0,,1,2022-01-07,1,2022-01-10
279,2022-01-07,1,MLB10528042730,0.0,,0,,1,2022-01-07,1,2022-01-08
280,2022-01-07,1,MLB3711440690,0.0,,1,2022-01-08,1,2022-01-07,1,2022-01-08
281,2022-01-07,1,MLB2318835060,0.0,,0,,0,,0,
282,2022-01-01,52,MLB6832201810,0.0,,0,,0,,0,
283,2022-01-01,52,MLB10495534970,0.0,,1,2022-01-03,1,2022-01-02,1,2022-01-02
284,2022-01-16,2,MLB10390720050,1.0,2022-01-16,1,2022-01-16,1,2022-01-21,1,2022-01-21
285,2022-01-16,2,MLB4582974230,0.0,,1,2022-01-16,1,2022-01-16,1,2022-02-08
286,2022-01-16,2,MLB6699770690,0.0,,0,,1,2022-01-16,0,
287,2022-01-09,1,MLB10537656540,1.0,2022-01-09,1,2022-01-09,1,2022-01-09,1,2022-01-10
288,2022-01-09,1,MLB6155759440,0.0,,0,,0,,0,
289,2022-01-09,1,MLB8389531970,0.0,,0,,1,2022-01-11,1,2022-01-11
290,2022-01-09,1,MLB1407610340,0.0,,1,2022-01-09,0,,1,2022-02-01
291,2022-01-09,1,MLB10483841410,0.0,,0,,1,2022-01-09,1,2022-01-10
292,2022-01-23,3,MLB1808014110,0.0,,0,,0,,0,
293,2022-01-23,3,MLB10619004240,0.0,,0,,1,2022-01-23,0,
294,2022-01-23,3,MLB10620094620,0.0,,0,,0,,1,2022-01-25
295,2022-01-23,3,MLB4305975170,0.0,,0,,0,,1,2022-02-01
296,2022-01-23,3,MLB8200374750,0.0,,1,2022-02-06,1,2022-01-23,1,2022-01-24
297,2022-01-02,52,MLB4932572840,1.0,2022-01-11,1,2022-01-02,0,,1,2022-01-03
298,2022-01-02,52,MLB7858708750,0.0,,0,,0,,0,
299,2022-01-24,4,MLB10290321080,0.0,,0,,0,,0,
300,2022-01-24,4,MLB4056609940,0.0,,1,2022-01-26,1,2022-01-24,1,2022-01-25
301,2022-01-24,4,MLB10607308610,0.0,,0,,1,2022-01-24,1,2022-01-25
302,2022-01-24,4,MLB10623290980,0.0,,1,2022-01-30,1,2022-01-30,1,2022-01-25
303,2022-01-24,4,MLB1332387190,0.0,,0,,0,,0,
304,2022-01-24,4,MLB7194748220,0.0,,0,,0,,0,
305,2022-01-15,2,MLB7481144360,0.0,,1,2022-01-30,1,2022-01-15,1,2022-01-17
306,2022-01-28,4,MLB10647221110,0.0,,0,,0,,0,
307,2022-01-28,4,MLB4654471000,1.0,2022-02-08,1,2022-01-28,1,2022-01-28,1,2022-01-29
308,2022-01-28,4,MLB101614010,0.0,,1,2022-01-29,0,,1,2022-01-29
309,2022-01-04,1,MLB10508453170,0.0,,0,,0,,1,2022-01-13
310,2022-01-04,1,MLB10302310080,0.0,,1,2022-01-04,1,2022-01-04,1,2022-02-02
311,2022-01-04,1,MLB10507849240,0.0,,1,2022-01-05,0,,1,2022-01-05
312,2022-01-04,1,MLB7552607510,0.0,,0,,1,2022-01-04,1,2022-01-05
313,2022-01-04,1,MLB5202616940,0.0,,0,,0,,0,
314,2022-01-04,1,MLB8219103580,0.0,,0,,0,,1,2022-01-05
315,2022-01-05,1,MLB10517977530,0.0,,1,2022-01-06,1,2022-01-06,1,2022-01-06
316,2022-01-05,1,MLB3905842670,0.0,,1,2022-01-22,0,,1,2022-01-19
317,2022-01-05,1,MLB955586290,0.0,,0,,1,2022-01-05,1,2022-01-16
318,2022-01-05,1,MLB10041231840,0.0,,0,,0,,0,
319,2022-01-05,1,MLB7075354940,0.0,,0,,0,,1,2022-01-08
320,2022-01-05,1,MLB4580838440,0.0,,1,2022-01-05,0,,0,
